Number,Class,Owner,Operator,PoolCode,Livery,Depot,Formation,Name,PreservedAt,StoredAt,YearBuilt,WorksNumber
15229,12,,,,,,,,,,,
15230,12,,,,,,,,,,,
15231,12,,,,,,,,,,,
15232,12,,,,,,,,,,,
15233,12,,,,,,,,,,,
15234,12,,,,,,,,,,,
15235,12,,,,,,,,,,,
15236,12,,,,,,,,,,,
139001,139 / PPM,,West Midlands Railway (WMT),,WMR purple and orange,Stourbridge shed,39001,,,,2008,
139002,139 / PPM,,West Midlands Railway (WMT),,WMR purple and orange,Stourbridge shed,39002,,,,2008,
PPM35,139 / PPM,,,,white & blue,,,,,,1997,PPM10
PPM12,139 / PPM,,,,Plain Light Blue,,,,,,2002,
13001,13,,,,,,,,,,,
13002,13,,,,,,,,,,,
13003,13,,,,,,,,,,,
140001,140,Banffshire Rolling Stock Limited,Keith & Dufftown Railway,,BR Blue & Grey,,55500 55501,,Keith & Dufftown Railway,,12/80,
141101,141,,,,,,55521 55541,,,,9/84,
141102,141,,,,,,55502 55522,,,,9/83,
141103,141,,,,,,55503 55523,,,,2/84,
141104,141,,,,,,55504 55524,,,,1/84,
141105,141,,,,,,55505 55525,,,,1/84,
141106,141,,,,,,55506 55526,,,,2/84,
141107,141,,,,,,55507 55527,,,,3/84,
141108,141,,Locomotive Services Ltd,,BR Blue & grey,,55508 55528,,Eastleigh Works (ZG),,2/84,
141109,141,,,,,,55509 55529,,,,5/84,
141110,141,,,,,,55510 55530,,,,4/84,
141111,141,,,,,,55511 55531,,,,5/84,
141112,141,,,,,,55512 55532,,,,4/84,
141113,141,Private Owner,The Midland Railway - Butterley,,West Yorkshire PTE,,55513 55533,,Midland Railway Centre,,4/84,
141114,141,,,,,,55514 55534,,,,4/84,
141115,141,,,,,,55515 55535,,,,5/84,
141116,141,,,,,,55516 55536,,,,5/84,
141117,141,,,,,,55517 55537,,,,5/84,
141118,141,,,,,,55518 55538,,,,6/84,
141119,141,,,,,,55519 55539,,,,7/84,
141120,141,,,,,,55520 55540,,,,9/84,
142001,142,National Railway Museum,Locomotion (NRM Shildon),,"Unbranded Northern blue, purple & grey",,55542 55592,,"Locomotion, Shildon",,1985,
142002,142,Angel Trains,,,,,55543 55593,,,,1985,
142003,142,,Eastleigh Works,,"Rubbed down Northern blue, purple & grey",,55544 55594,,,,1985,
142004,142,Angel Trains,Northern,,"Unbranded Northern blue, purple & grey",,55545 55595,,,Heaton T&RSMD (HT),1985,
142005,142,,,,,,55546 55596,,,,1985,
142006,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55547 55597,,,Landore TMD (LE),1985,
142007,142,,Eastleigh Works,,"Unbranded Northern blue, purple & grey",,55548 55598,,,Eastleigh Works (ZG),1985,
142008,142,,,,,,55549 55599,,,,1985,
142009,142,,,,,,55550 55600,,,,1985,
142010,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55551 55601,,,Landore TMD (LE),1985,
142011,142,Private Owner,The Midland Railway - Butterley,,"Unbranded Northern blue, purple & grey",,55552 55602,,Midland Railway Centre,,1985,
142012,142,,,,,,55553 55603,,,,1985,
142013,142,Private Owner,The Midland Railway - Butterley,,"Unbranded Northern blue, purple & grey",,55554 55604,,Midland Railway Centre,,1985,
142014,142,,Eastleigh Works,,"Unbranded Northern blue, purple & grey",,55555 55605,,,Eastleigh Works (ZG),1985,
142015,142,,,,,,55556 55606,,,,1985,
142016,142,,,,,,55557 55607,,,,1985,
142017,142,Private Owner,East Kent Railway,,"Unbranded Northern blue, purple & grey",,55558 55608,,East Kent Railway,,1985,
142018,142,Angel Trains,Wensleydale Railway,,"Unbranded Northern blue, purple & grey",,55559 55609,,Wensleydale Railway,,1985,
142019,142,Waverley Route Heritage Association,Whitrope Heritage Centre,,"Unbranded Northern blue, purple & grey",,55560 55610,,Whitrope Heritage Centre,,1985,
142020,142,Waverley Route Heritage Association,Whitrope Heritage Centre,,Tyne & Wear PTE,,55561 55611,,Whitrope Heritage Centre,,1985,
142021,142,,,,,,55562 55612,,,,1985,
142022,142,,,,,,55563 55613,,,,1985,
142023,142,Angel Trains,Plym Valley Railway,,"Unbranded Northern blue, purple & grey",,55564 55614,,,Heaton T&RSMD (HT),1985,
142024,142,,,,,,55565 55615,,,,1985,
142025,142,,,,,,55566 55616,,,,1985,
142026,142,,,,,,55567 55617,,,,1985,
142027,142,Chasewater Railway,Chasewater Railway,,"Unbranded Northern blue, purple & grey",,55568 55618,,Chasewater Railway,,1985,
142028,142,Private Owner,Wensleydale Railway,,"Unbranded Northern blue, purple & grey",,55569 55619,,Wensleydale Railway,,1985,
142029,142,Chasewater Railway,Chasewater Railway,,"Unbranded Northern blue, purple & grey",,55570 55620,,Chasewater Railway,,1985,
142030,142,Chasewater Railway,Chasewater Railway,,"Unbranded Northern blue, purple & grey",,55571 55621,,Chasewater Railway,,1985,
142031,142,,,,,,55572 55622,,,,1986,
142032,142,,Eastleigh Works,,"Unbranded Northern blue, purple & grey",,55573 55623,,,Eastleigh Works (ZG),1986,
142033,142,South Wales Police,* Preserved - Wales,,"Unbranded Northern blue, purple & grey",,55574 55624,,"South Wales Police Training Centre, Bridgend",,1986,
142034,142,,,,,,55575 55625,,,,1986,
142035,142,Private Owner,Wensleydale Railway,,"Unbranded Northern blue, purple & grey",,55576 55626,,Wensleydale Railway,,1986,
142036,142,Private Owner,East Kent Railway,,"Unbranded Northern blue, purple & grey",,55577 55627,,East Kent Railway,,1986,
142037,142,,,,,,55578 55628,,,,1986,
142038,142,Mid Norfolk Railway Preservation Trust,Mid-Norfolk Railway,,"Unbranded Northern blue, purple & grey",,55579 55629,,Mid-Norfolk Railway,,1986,
142039,142,,,,,,55580 55630,,,,1986,
142040,142,,,,,,55581 55631,,,,1986,
142041,142,Private Owner,Wensleydale Railway,,"Unbranded Northern purple, blue & grey",,55582 55632,,Wensleydale Railway,,1986,
142042,142,,,,,,55583 55633,,,,1986,
142043,142,Sussex Police,* Preserved - South East,,"Unbranded Northern purple, blue & grey",,55584 55634,,,"Sussex Police Training Centre, Kingstanding",1986,
142044,142,,,,,,55585 55635,,,,1986,
142045,142,,* Preserved - North East,,"Unbranded Northern purple, blue & grey",,55586 55636,,,"Kirk Merrington Primary School, Spennymoor",1986,
142046,142,,,,,,55587 55637,,,,1986,
142047,142,,Angel Trains,,"Unbranded Northern purple, blue & grey",,55588 55638,,,Gascoigne Wood,1986,
142048,142,,,,,,55589 55639,,,,1986,
142049,142,,,,,,55590 55640,,,,1986,
142050,142,,,,,,55591 55641,,,,1986,
142051,142,,,,,,55701 55747,,,,1986,
142052,142,,,,,,55702 55748,,,,1986,
142053,142,,,,,,55703 55749,,,,1986,
142054,142,,,,,,55704 55750,,,,1986,
142055,142,Pacer Rail Group,Foxfield Railway,,"Unbranded Northern purple, blue & grey",,55705 55751,,Foxfield Railway,,1986,
142056,142,,Eastleigh Works,,"Unbranded Northern blue, purple & grey",,55706 55752,,,Eastleigh Works (ZG),1986,
142057,142,,,,,,55707 55753,,,,1986,
142058,142,Angel Trains,Northern,,"Unbranded Northern purple, blue & grey",,55708 55754,,,Heaton T&RSMD (HT),1986,
142059,142,,,,,,55709 55755,,,,1986,
142060,142,Private Owner,Wensleydale Railway,,"Unbranded Northern blue, purple & grey",,55710 55756,,Wensleydale Railway,,1986,
142061,142,Mid Norfolk Railway Preservation Trust,Mid-Norfolk Railway,,"Unbranded Northern purple, blue & grey",,55711 55757,,Mid-Norfolk Railway,,1986,
142062,142,,,,,,55712 55758,,,,1986,
142063,142,,,,,,55713 55759,,,,1986,
142064,142,,,,,,55714 55760,,,,1986,
142065,142,Angel Trains,Northern,,"Unbranded Northern purple, blue & grey",,55715 55761,,,Heaton T&RSMD (HT),1986,
142066,142,,,,,,55716 55762,,,,1986,
142067,142,,,,,,55717 55763,,,,1987,
142068,142,Angel Trains,Northern,,"Unbranded Northern purple, blue & grey",,55718 55764,,,Heaton T&RSMD (HT),1987,
142069,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55719 55765,,,Landore TMD (LE),1987,
142070,142,Angel Trains,Northern,,"Unbranded Northern purple, blue & grey",,55720 55766,,,Heaton T&RSMD (HT),1987,
142071,142,Angel Trains,Northern,,"Unbranded Northern purple, blue & grey",,55721 55767,,,Heaton T&RSMD (HT),1987,
142072,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55722 55768,,,Landore TMD (LE),1987,
142073,142,Angel Trains,,,,,55723 55769,,,,1987,
142074,142,Angel Trains,,,,,55724 55770,,,,1987,
142075,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55725 55771,,,Landore TMD (LE),1987,
142076,142,Angel Trains,,,,,55726 55772,,,,1987,
142077,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55727 55773,,,Landore TMD (LE),1987,
142078,142,Angel Trains,Wensleydale Railway,,"Unbranded Northern purple, blue & grey",,55728 55774,,Wensleydale Railway,,1987,
142079,142,,,,,,55729 55775,,,,1987,
142080,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55730 55776,,,Landore TMD (LE),1987,
142081,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55731 55777,,,Landore TMD (LE),1987,
142082,142,Angel Trains,,,,,55732 55778,,,,1987,
142083,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55733 55779,,,Landore TMD (LE),1987,
142084,142,Rushden Historical Transport Society,"Rushden, Higham & Wellingborough Railway",,"Unbranded Northern purple, blue & grey",,55734 55780,,"Rushden, Higham & Wellingborough Railway",,1987,
142085,142,Angel Trains,Trafnidiaeth Cymru / Transport for Wales,,"ATW turquoise & cream with TFW ""The start of a new journey"" Decals",,55735 55781,,,Landore TMD (LE),1987,
142086,142,,,,,,55736 55782,,,,1987,
142087,142,Angel Trains,Wensleydale Railway,,"Unbranded Northern purple, blue & grey",,55737 55783,,Wensleydale Railway,,1987,
142088,142,,,,,,55738 55784,,,,1987,
142089,142,,Eastleigh Works,,"Unbranded Northern blue, purple & grey",,55739 55785,,,Eastleigh Works (ZG),1987,
142090,142,Angel Trains,Wensleydale Railway,,"Unbranded Northern purple, blue & grey",,55740 55786,,,Heaton T&RSMD (HT),1987,
142091,142,Rushden Historical Transport Society,"Rushden, Higham & Wellingborough Railway",,"Unbranded Northern purple, blue & grey",,55741 55787,,"Rushden, Higham & Wellingborough Railway",,1987,
142092,142,,,,,,55742 55788,,,,1987,
142093,142,,,,,,55743 55789,,,,1987,
142094,142,Angel Trains,Wensleydale Railway,,"Unbranded Northern purple, blue & grey",,55744 55790,,,Heaton T&RSMD (HT),1987,
142095,142,Angel Trains,Angel Trains,,"Unbranded Northern purple, blue & grey",,55745 55791,,,Heaton T&RSMD (HT),1987,
142096,142,,,,,,55746 55792,,,,1987,
143601,143,Mid-Glamorgan County Council,Trafnidiaeth Cymru / Transport for Wales,,ATW/WG dark & light blue,Cardiff Canton TMD (CF),55642 55667,,,,1985,
143602,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW/WG dark & light blue,,55651 55668,,,Landore TMD (LE),1985,
143603,143,Vale of Berkeley Railway,Vale of Berkeley Railway,,Unbranded GWR green with silver doors,,55658 55669,,,Chasewater Railway,1985,
143604,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55645 55670,,,,1985,
143605,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW/WG dark & light blue,,55646 55671,,,Landore TMD (LE),1985,
143606,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55647 55672,,,,1985,
143607,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55648 55673,,,,1985,
143608,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW/WG dark & light blue,Cardiff Canton TMD (CF),55649 55674,,,,1985,
143609,143,South Glamorgan County Council,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55650 55675,,,,1985,
143610,143,Mid-Glamorgan County Council,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55643 55676,,,,1985,
143611,143,Porterbrook,Porterbrook,,Unbranded GWR green with silver doors,,55652 55677,,,Landore TMD (LE),1985,
143612,143,Vale of Berkeley Railway,Vale of Berkeley Railway,,Unbranded GWR green with silver doors,,55653 55678,,,Wishaw,1985,
143613,143,,,,,,,,,,1985,
143614,143,Mid-Glamorgan County Council,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55655 55680,,,,1985,
143615,143,,,,,,,,,,1985,
143616,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55657 55682,,,,1985,
143617,143,Great Western Railway,Porterbrook,,GWR green with silver doors,,55644 55683,,,Bristol St Philips Marsh T&RSMD (PM),1985,
143618,143,Great Western Railway,Porterbrook,,GWR green with silver doors,,55659 55684,,,Bristol St Philips Marsh T&RSMD (PM),1986,
143619,143,Great Western Railway,Porterbrook,,GWR green with silver doors,,55660 55685,,,Bristol St Philips Marsh T&RSMD (PM),1986,
143620,143,Porterbrook,Porterbrook,,Unbranded GWR green with silver doors,,55661 55686,,,Landore TMD (LE),1986,
143621,143,Porterbrook,Porterbrook,,Unbranded GWR green with silver doors,,55662 55687,,,Landore TMD (LE),1986,
143622,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,Cardiff Canton TMD (CF),55663 55688,,,,1986,
143623,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW turquoise & cream,,55664 55689,,,Landore TMD (LE),1986,
143624,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,ATW/WG dark & light blue,Cardiff Canton TMD (CF),55665 55690,,,,1986,
143625,143,Porterbrook,Trafnidiaeth Cymru / Transport for Wales,,Transport For Wales Black & Blue,Cardiff Canton TMD (CF),55666 55691,,,,1986,
144001,144,,Porterbrook,,"Northern purple, blue & grey",,55801  55824,THE PENISTONE LINE PARTNERSHIP,,Worksop HNRC,1986,
144002,144,,Porterbrook,,"Northern purple, blue & grey",,55802  55825,,,Worksop HNRC,1986,
144003,144,,Great Central Railway (Nottingham),,"Northern purple, blue & grey",,55803  55826,,Great Central Railway (Nottingham),,1986,
144004,144,,Aln Valley Railway,,"Northern purple, blue & grey",,55804  55827,,Aln Valley Railway,,1986,
144005,144,,Porterbrook,,"Northern purple, blue & grey",,55805  55828,,,Worksop HNRC,1986,
144006,144,,Cambrian Heritage Railways,,"Northern purple, blue & grey",,55806  55829,,"Cambrian Railway - Oswestry, Currently at Gobowen",,1986,
144007,144,,Cambrian Heritage Railways,,"Northern purple, blue & grey",,55807  55830,,"Cambrian Railway - Oswestry, Currently at Gobowen",,1986,
144008,144,,* Preserved - East Midlands,,"Northern purple, blue & grey",,55808 55831,,,55831 is at the Corby and District Model Railway Society,1986,
144009,144,Greater Manchester Fire & Rescue service,* Preserved - North West,,"Northern purple, blue & grey",,55809  55832,,,,1987,
144010,144,Private Owner,Weardale Railway,,"Northern purple, blue & grey",,55810  55833,,Weardale Railway,,1987,
144011,144,,Keighley & Worth Valley Railway,,"Northern purple, blue & grey",,55811  55834,,Keighley & Worth Valley Railway,,1987,
144012,144,,Porterbrook,,Blue,,55812  55835,,,Worksop HNRC,1987,
144013,144,Telford Steam Railway,Telford Steam Railway,,"Northern purple, blue & grey",,55813  55836,,Telford Steam Railway,,1987,
144014,144,,Vintage Trains,,"Northern purple, blue & grey",,55814 55850 55837,,,Tyseley Locomotive Works (TM),1987,
144015,144,,Porterbrook,,"Northern purple, blue & grey",,55815 55851 55838,,,Worksop HNRC,1987,
144016,144,,Aln Valley Railway,,"Northern purple, blue & grey",,55816 55852 55839,,Aln Valley Railway,,1987,
144017,144,Woodhead Rail Group,* Preserved - Yorkshire & Lincolnshire,,"Northern blue, purple & grey",,55817 55853 55840,,,Appleby Frodingham Railway,1987,
144018,144,,Mid-Norfolk Railway,,"Northern purple, blue & grey",,55818 55854 55841,,Mid-Norfolk Railway,,1987,
144019,144,,Vintage Trains,,"Northern purple, blue & grey",,55819 55855 55842,,,Tyseley Locomotive Works (TM),1987,
144020,144,,Wensleydale Railway,,"Northern purple, blue & grey",,55820 55856 55843,,Wensleydale Railway,,1987,
144021,144,,Porterbrook,,"Northern purple, blue & grey",,55821 55857 55844,,,Worksop HNRC,1987,
144022,144,,Keith & Dufftown Railway,,"Northern purple, blue & grey",,55822 55858 55845,,Keith & Dufftown Railway,,1987,
144023,144,,Vintage Trains,,"Northern purple, blue & grey",,55823 55859 55846,,Tyseley Locomotive Works (TM),,1987,
D9500,14,Andrew Briddon Locos,Andrew Briddon Locos,,Two-tone green,,,,"Andrew Briddon Locomotives, Darley Dale",,1964,
D9501,14,,,,,,,,,,1964,
D9502,14,,East Lancashire Railway,,BR two-tone green,,,,ELR,,1964,
D9503,14,,,,,,,,,,1964,
D9504,14,,Kent & East Sussex Railway,MBDL,BR two-tone green,,,,Kent & East Sussex Railway,,1964,
D9505,14,,,,,,,,,,1964,
D9506,14,,,,,,,,,,1964,
D9507,14,,,,,,,,,,1964,
D9508,14,,,,,,,,,,1964,
D9509,14,,,,,,,,,,1964,
D9510,14,,,,,,,,,,1964,
D9511,14,,,,,,,,,,1964,
D9512,14,,,,,,,,,,1964,
NCB 38,14,,Embsay and Bolton Abbey Steam Railway,,NCB Blue,,,NCB 38,Embsay & Bolton Abbey Railway,,1964,
D9514,14,,,,,,,,,,1964,
D9515,14,,,,,,,,,,1964,
D9516,14,,Didcot Railway Centre,,Green,,,,DRC,,1964,
D9517,14,,,,,,,,,,1964,
D9518,14,Diesel and Electric Preservation Group,West Somerset Railway,,Blue/dismantled,,,,West Somerset Railway,,1964,
D9519,14,,,,,,,,,,1964,
D9520,14,ISTG,Nene Valley Railway,,Green,,,,NVR,,1964,
D9521,14,,Dean Forest Railway,,BR blue,,,,DFR,,1964,
D9522,14,,,,,,,,,,1964,
D9523,14,Wensleydale Diesel Traction Group,Wensleydale Railway,,Maroon,,,,Wensleydale Railway,,1964,
14901,14,Andrew Briddon Locos,Andrew Briddon Locos,,Blue with yellow cab,,,,"Andrew Briddon Locomotives, Darley Dale",,1965,
D9525,14,,Heritage Shunters Trust (at Peak Rail),,Green,,,,"Rowsley, HST",,1965,
D9526,14,Diesel and Electric Preservation Group,West Somerset Railway,,BR two-tone Green,,,,West Somerset Railway,,1965,
D9527,14,,,,,,,,,,1965,
D9528,14,,,,,,,,,,1965,
9529,14,ISTG,Nene Valley Railway,,BR blue,,,,NVR,,1965,
D9530,14,,,,,,,,,,1965,
D9531,14,ELR Bury Diesel Group,East Lancashire Railway,,BR two-tone Green,,,Ernest,East Lancashire Railway,,1965,
D9532,14,,,,,,,,,,1965,
D9533,14,,,,,,,,,,1965,
D9534,14,,,,,,,,,,1965,
D9535,14,,,,,,,,,,1965,
D9536,14,,,,,,,,,,1965,
D9537,14,Private Owner,Ecclesbourne Valley Railway,,BR Black,,,,Ecclesbourne Valley Railway,,1965,
D9538,14,,,,,,,,,,1965,
D9539,14,Private Owner,Ribble Steam Railway,,BR two-tone Green,,,,Ribble Steam Railway,,1965,
D9540,14,,,,,,,,,,1965,
D9541,14,,,,,,,,,,1965,
D9542,14,,,,,,,,,,1965,
D9543,14,,,,,,,,,,1965,
D9544,14,,,,,,,,,,1965,
D9545,14,,,,,,,,,,1965,
D9546,14,,,,,,,,,,1965,
D9547,14,,,,,,,,,,1965,
D9548,14,,,,,,,,,,1965,
D9549,14,,,,,,,,,,1965,
D9550,14,,,,,,,,,,1965,
D9551,14,Severn Valley Railway Class 14 Company Ltd,Severn Valley Railway,MBDL,Golden Ochre,,,,Severn Valley Railway,,1965,
D9552,14,,,,,,,,,,1965,
D9553,14,Andrew Goodman,Vale of Berkeley Railway,,BR two-tone Green,,,,Wishaw,,1965,
D9554,14,,,,,,,,,,1965,
D9555,14,,Dean Forest Railway,,Green,,,,DFR,,1965,
150001,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),55200 55400 55300,,,,1984,
150002,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),55201 55401 55301,,,,1984,
150003,150,,,,,,52103 57210 57103,,,,1984,
150004,150,,,,,,52104 57216 57104,,,,1984,
150005,150,,,,,,52105 52210 57105,,,,1984,
150006,150,,,,,,52106 57214 57106,,,,1984,
150007,150,,,,,,52107 57202 57107,,,,1984,
150008,150,,,,,,52108 52216 57108,,,,1984,
150009,150,,,,,,52109 52202 57109,,,,1984,
150010,150,,,,,,52110 57226 57110,,,,1984,
150011,150,,,,,,52111 52204 57111,,,,1984,
150012,150,,,,,,52112 57206 57112,,,,1984,
150013,150,,,,,,52113 52226 57113,,,,1984,
150014,150,,,,,,52114 57204 57114,,,,1984,
150015,150,,,,,,52115 52206 57115,,,,1984,
150016,150,,,,,,52116 57212 57116,,,,1984,
150017,150,,,,,,52117 57209 57117,,,,1984,
150018,150,,,,,,52118 52220 57118,,,,1984,
150019,150,,,,,,52119 57220 57119,,,,1984,
150020,150,,,,,,,,,,1984,
150021,150,,,,,,,,,,1984,
150022,150,,,,,,52122 52214 57122,,,,1984,
150101,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52101 57101,,,,1985,
150102,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52102 57102,,,,1985,
150103,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52103 57103,,,,1985,
150104,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52104 57104,,,,1985,
150105,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52105 57105,Bernie/Hutchie,,,1985,
150106,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52106 57106,,,,1985,
150107,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52107 57107,,,,1985,
150108,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52108 57108,,,,1985,
150109,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52109 57109,,,,1985,
150110,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52110 57110,,,,1985,
150111,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52111 57111,,,,1985,
150112,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52112 57112,,,,1985,
150113,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52113 57113,,,,1985,
150114,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52114 57114,,,,1985,
150115,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52115 57115,,,,1985,
150116,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52116 57116,,,,1985,
150117,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52117 57117,,,,1985,
150118,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52118 57118,,,,1985,
150119,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52119 57119,,,,1985,
150120,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52120 57120,,,,1986,
150121,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52121 57121,,,,1986,
150122,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52122 57122,,,,1986,
150123,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52123 57123,,,,1986,
150124,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52124 57124,,,,1986,
150125,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52125 57125,,,,1986,
150126,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52126 57126,,,,1986,
150127,150,Angel Trains,Northern,,Arriva Northern white & blue,,52127 57127,,,,1986,
150128,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52128 57128,,,,1986,
150129,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52129 57129,,,,1986,
150130,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52130 57130,,,,1986,
150131,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52131 57131,,,,1986,
150132,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52132 57132,,,,1986,
150133,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52133 57133,,,,1986,
150134,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52134 57134,,,,1986,
150135,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52135 57135,,,,1986,
150136,150,Angel Trains,Northern,,Arriva Northern white & blue with 'The Great North Rail Project' vinyls,Newton Heath TMD (NH),52136 57136,,,,1986,
150137,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52137 57137,,,,1986,
150138,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52138 57138,,,,1986,
150139,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52139 57139,,,,1986,
150140,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52140 57140,,,,1986,
150141,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52141 57141,,,,1986,
150142,150,Angel Trains,Northern,,Arriva Northern white & blue with 'The Great North Rail Project' vinyls,Newton Heath TMD (NH),52142 57142,,,,1986,
150143,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52143 57143,,,,1986,
150144,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52144 57144,,,,1986,
150145,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52145 57145,,,,1986,
150146,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52146 57146,,,,1986,
150147,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52147 57147,,,,1986,
150148,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52148 57148,,,,1986,
150149,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52149 57149,,,,1986,
150150,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52150 57150,,,,1986,
150201,150,Angel Trains,Northern,,Arriva Northern white & blue,Newton Heath TMD (NH),52201 57201,,,,1986,
150202,150,Angel Trains,Great Western Railway,,GWR Green with silver doors,Exeter St David's SD (EX),52202 57202,,,,1986,
